Number	Radical	Strokes	Meaning	Reading	Position	Frequency	Notes
88	父	4	father	ちち, chichi		40	
89	爻	4	mix, twine, cross	こう, kō		38	
90	爿	4	split wood	しょうへん, shōhen, 爿偏	left	75	
91	片	4	(a) slice	かた, kata		30	
92	牙	4	fang	きばへん, kibahen, 牙偏		31	
93	牛	4	cow	うし, ushi		93	
94	犬	4	dog	いぬ, inu		65	
96	王	4	king; ball, jade	おう-ō; たま, tama		458	
113	⺭	4	altar, display	しめす, shimesu	left	76	Variant of 示
125	⺹	4	old	ろう, rō	top	82	
	五	4				25	
	井	4				21	
	元	4				42	
	勿	4				97	
	屯	4				24	
	巴	4				53	
80	母	5	do not; mother	なかれ-nakare; はは, haha		34	Variant of 毋
95	玄	5	dark, profound	げん, gen		41	
97	瓜	5	melon	うり, uri		25	
98	瓦	5	tile	かわら, kawara		19	
99	甘	5	sweet	あまい, amai		83	
100	生	5	life	うまれる, umareru		43	
101	用	5	use	もちいる, mochīru		63	
102	田	5	field	た, ta		871	
103	疋	5	bolt of cloth	ひき, hiki		80	
104	⽧	5	sickness	やまいだれ, yamaidare, 病垂	top left	152	
105	癶	5	footsteps	はつがしら, hatsugashira, 発頭	top	34	
106	白	5	white	しろ, shiro		197	
107	皮	5	skin	けがわ, kegawa, 毛皮		23	
108	皿	5	dish	さら, sara		171	
109	目	5	eye	め, me		819	
110	矛	5	spear, pike	むのほこ, munohoko		59	
111	矢	5	arrow	や, ya		93	
112	石	5	stone	いし, ishi		186	
113	示	5	altar, display	しめす, shimesu		92	
114	⽱	5	track	ぐうのあし, gūnoashi		55	
115	禾	5	two-branch tree	のぎ, nogi, ノ木		258	
116	穴	5	cave	あな, ana		51	
117	立	5	stand, erect	たつ, tatsu		341	
122	⺲	5	net	あみがしら, amigashira, 網頭	top	206	
145	⻂	5	clothes	ころも, koromo	left	124	Variant of 衣
	世	5				37	
	冊	5				55	
	巨	5				9	
118	竹	6	bamboo	たけ, take	top	247	
119	米	6	rice	こめ, kome		222	
120	糸	6	thread, string	いと, ito		381	
121	缶	6	can, earthenware jar	かん, kan		45	
123	羊	6	sheep	ひつじ, hitsuji		119	
124	羽	6	feather, wing	はね, hane		120	
126	而	6	rake, beard	しかして, shikashite		57	
127	耒	6	plow	らいすき, raisuki		26	
128	耳	6	ear	みみ, mimi		133	
129	聿	6	brush	ふでづくり, fudezukuri, 聿旁		49	
130	肉	6	meat	にく, niku		10	
132	自	6	oneself	みずから, mizukara		81	
133	至	6	arrive	いたる, itaru		45	
134	臼	6	mortar	うす, usu		126	
135	舌	6	tongue	した, shita		33	
137	舟	6	boat	ふね, fune		59	
138	艮	6	stopping	うしとら, ushitora, 丑寅		84	
139	色	6	colour, prettiness	いろ, iro		13	
141	虍	6	tiger	とらかんむり, torakanmuri, 虎冠	top left	110	
142	虫	6	insect	むし, mushi	left	389	
143	血	6	blood	ち, chi		16	
144	行	6	go, do	ぎょう, gyō	enclose	34	
145	衣	6	clothes	ころも, koromo		169	
146	西	6	west	にし, nishi		93	
131	臣	7	minister, official	しん, shin		68	
136	舛	7	opposite	ます, masu		37	
147	見	7	see	みる, miru		70	
148	角	7	horn	つの, tsuno		43	
149	言	7	speech	こと, koto	left	351	
150	谷	7	valley	たに, tani		33	
151	豆	7	bean	まめ, mame		135	
152	豕	7	pig	いのこ, inoko, 猪子		103	
153	豸	7	cat, badger	むじな, mujina, 狢		30	
154	貝	7	shell	かい, kai		430	
155	赤	7	red, bare	あか, aka		21	
156	走	7	run	はしる, hashiru		39	
157	足	7	foot	あし, ashi	left	161	
158	身	7	body	み, mi		28	
